,art,entertainment,fashion,food,gaming,health and lifestyle,mom and children,sports,tech,travel
agile,-0.0969196162283765,-0.09406852467732431,-0.05691584383676216,-0.06410983413690997,-0.01840274235703915,-0.1455789311247222,-0.08826180498372879,-0.07803853476511374,0.7281216690292729,-0.08582583691929777
agustos,-0.06547854089337045,-0.07536776549925957,0.03172097134480116,-0.08277523310406999,-0.02104285925857787,-0.08654790267469654,-0.04611813618004438,-0.01633663817459595,0.284554942037663,0.07739116240215066
ah,0.2102209396487307,0.00022464098201350013,-0.04592737255241073,0.008582897702617545,-0.07131897784896087,-0.21313012981967636,0.19384746643030665,-0.09710657619150043,0.1276948674388836,-0.11308775579000306
ahmet,-0.20757729761695778,0.025313331953023297,-0.1323493410794888,0.1482392860220323,-0.10677701406432055,0.16251874673865474,0.09896745106011193,0.2095909328234166,-0.06980779901262536,-0.1281182968238459
ahtapot,-0.07058334621145104,-0.12158654254602058,-0.08504210508496035,0.5015197093049019,-0.01726354339835871,-0.023521463821871987,-0.01866238309848749,-0.03871505936504885,-0.0446970612691423,-0.08144820450955964
ahşap,0.14470250953290167,-0.07371313830411656,-0.11732715621945074,0.22679205083689913,-0.0376431622320927,-0.011608989964481845,-0.01623891048171551,-0.07108852270148203,0.041602244080016504,-0.08547692454647889
ai,-0.07801259137844217,0.038365954061947,-0.024050807905271327,0.044652005197290685,-0.02576199759883242,-0.1080345658848825,-0.08398408100751656,0.033907580128234714,0.17375466824488253,0.029163836142589602
aile,-0.15788204893652966,-0.28833214117597417,-0.3784293531236091,-0.3551466204201857,-0.15977203596848333,0.29881016131910415,1.5321938311571714,-0.017133092253901142,-0.3879402465977482,-0.08636845399984429
aileleri,0.03823036228532244,-0.01879456181089807,-0.08489475392268049,-0.06923399176974575,-0.02926955743181567,0.05058665937393691,0.20331181646755966,-0.060150298000290495,-0.03382526637813174,0.004039591186743307
ailelerine,0.003986065864631404,0.05916422636715246,-0.013961438352658641,-0.0186572965716412,-0.020452283576413106,0.1799954969735569,-0.017354855025306756,-0.09884323449348267,0.004365241067583301,-0.07824192225342173
ailem,-0.05340903153715874,-0.0822147381103618,-0.04768530464084553,-0.08676264566580924,-0.044178730984367906,0.020567777591460248,0.46641441892234753,-0.04720360436287445,-0.07611760261094963,-0.04941053860144113
ailemize,0.08432838931369098,-0.12437624795280208,-0.08875938539003328,0.0044424336397513,-0.027418360197107524,0.03310465703821705,0.033814265928363396,0.06817014773450956,-0.0859559758942041,0.10265007577961487
ailenin,-0.0070091478908700065,-0.03717040857779828,-0.06503115798927557,-0.03002884686275131,-0.0189686704151898,-0.02657452476943068,0.15900282952752168,0.052830102339977356,-0.026498357903569796,-0.0005518174586134332
ailenizle,0.08975532554902892,-0.05716401787952585,-0.006613437259652564,-0.023607491344221933,-0.01869240506822829,-0.08651084967513527,0.060503661572199656,-0.05397743623630148,-0.1287023134930507,0.22500896383488764
ailesi,-0.11318126040654361,-0.28107440082952484,0.09620899661233338,0.24122308588876923,-0.10382213796303674,-0.008783622783222929,-0.03298117523829018,0.23326114431380768,0.018455332338542376,-0.04930596193283463
ailesine,0.04911116382116059,-0.05707067213458269,0.1585089628717219,-0.1769478437082901,-0.09287301877421601,0.09393536390637602,0.24994781378554806,0.11475436767787373,-0.13705972257364987,-0.202306414871941
ailesinin,-0.11029969403170047,0.3309534297891399,-0.037732288828034005,-0.017524333174200418,-0.029495925761227434,-0.022982586320356647,-0.05514354121572853,-0.07086293224937446,0.07540527338469735,-0.06231740159321576
air,-0.1779217382936366,-0.05692641238980755,0.3644128552020403,-0.15541698872637558,-0.04337150979186426,-0.08411410505486003,-0.10821151970938628,-0.03276813602174211,0.15159777367864316,0.1427197811069885
airfryer,-0.04595853524374767,-0.05080917684754173,-0.013853267302985051,-0.07381722760146413,-0.01289937402894664,-0.031975584873511764,-0.06189382390480554,-0.0307898266797523,0.3730406591803601,-0.051043842697606236
airlines,-0.04977402032237942,-0.08141073349439931,-0.06346096496158743,-0.08290618134254815,-0.018593898519180262,-0.08011958154374381,-0.03814735382576398,-0.07746788995576764,-0.10569279947958833,0.5975734234449596
ait,0.23775514781886584,0.07165543010891334,-0.12670481128850214,-0.058282294856215076,-0.07340445715680066,-0.04646660327835157,-0.07330025372955298,-0.22848818543831764,-0.055962192673679814,0.3531982204936401
aittir,-0.03827446092998606,-0.08076543425324116,-0.053371203062624446,-0.05225145085831618,-0.029658176117622417,0.012866960285381595,-0.029410656662539926,0.3241028043682238,-0.03963252632987808,-0.013605856439396661
ajans,0.03771763086915609,0.3009656440265917,-0.30625709600142703,-0.1995100431917055,-0.07487650605040129,-0.2530435611455251,-0.1652231043447707,-0.1425728692025196,0.9846340984987159,-0.1818341934581158
ajansı,-0.15195636651497912,0.272527600984437,0.1701725420116212,-0.0808120084423937,-0.027296792636201907,0.11861788808822481,-0.10708607225453137,-0.08608460400067693,-0.04382782874016828,-0.06425435849533107
ak,-0.08197882132983438,0.5382253225621934,-0.21473538390432606,-0.26489166118697544,-0.08495404235196782,0.12041209037090626,0.2773772434708453,0.24031782596365928,-0.19879017156720927,-0.3309824020272917
ak parti,-0.1032643224675117,0.25881906648475395,-0.16887314746423784,-0.21983607436583477,-0.07174874538872482,0.17581799647677346,0.2578129237309318,0.3113885365348962,-0.17022940543333137,-0.2698868281077147
akademi,-0.2639944038699326,-0.22416840255501377,-0.03681283419572899,0.06752576161542928,-0.06465246105592416,-0.27588052450132805,-0.12216386297920136,0.48647267337059086,0.5915595628022962,-0.15788550863118622
akademik,0.12391693380182936,0.015414933618542086,-0.11857110817931624,-0.14621236650366376,-0.04411440385371624,0.37392534322808874,0.05008669332900403,-0.14956460783310205,0.019843781103095186,-0.12472519871075977
akademisi,-0.07361778244813473,-0.0738611557281477,-0.05598214529208297,-0.07879414659154156,-0.02457807018297224,-0.15930601212583212,0.04882787751529253,0.04390202886581548,-0.15190475184665933,0.5253141578342656
akademisyen,0.043711770285167685,-0.048909449985697635,-0.04601467168143476,-0.065810459895655,-0.023641111242864447,0.35888937684969624,-0.007956930989291091,-0.004684698027930513,-0.14924384650806113,-0.05633997880392934
akan,0.031372599893747355,0.022068368037002576,0.02607543006791548,-0.00047428140850149436,-0.017840031119789976,0.06127633799786598,-0.08263022548101581,0.01979649326540213,-0.05205323668681716,-0.007591454565809221
akasya,-0.06524364255411688,0.8131230499151583,-0.024327302403918623,-0.10001697687204833,-0.03747284362823769,-0.1432357065375752,-0.12366376210560551,-0.07159690338,-0.14240238166508004,-0.10516353076857511
akciğer,-0.05326036951564991,0.022180790100619192,-0.029193800056042014,-0.031170225862438495,-0.009742928015879138,0.24557745694456,-0.045188076345644014,-0.02807775512204847,-0.042798305520168424,-0.028326786607309067
akdeniz,-0.13979986366331867,0.03289321963076085,-0.1869042587645604,0.12765014815663758,-0.03978374881852448,-0.14079216926579058,-0.10184337885803679,-0.03446851349496303,0.189092465167372,0.2939560999104223
akif,-0.17057029385918868,0.0036451025292440517,-0.10289689979144129,0.059684169538206294,-0.036011803990672726,0.32434132656555126,-0.14735800646930586,0.16206664035907478,-0.060931375592697914,-0.031968859288769726
akla,-0.004429843858544495,0.11918565833659074,-0.0435221446689402,0.03481955726181541,-0.019032348472818053,-0.05676780298333579,0.012843052487000493,0.03241121496068556,-0.029475284913853612,-0.04603205814860039
akne,-0.025224602244758698,-0.01752837348822922,-0.02207333120886142,-0.02464581505140775,-0.004269199140779612,0.19275287649792458,-0.017307640555794236,-0.014974912569285985,-0.04534817383835279,-0.02138082840045486
aksam,-0.026709834797568825,0.05728244643188597,0.013608452255254607,-0.051845356775655826,-0.01959462231838847,0.07678706042186204,-0.020820774550025244,-0.0006234811740693208,-0.03752949686399626,0.009445607370701445
aksaray,-0.17425949348794786,-0.25246308632025793,-0.005750614445255462,-0.23796397101810615,-0.0549666974413762,0.5019498522189599,-0.10200753229368896,0.32601280983603287,-0.23354147915535564,0.23299021210699467
aksesuar,-0.19821333457683546,-0.02124088697694881,0.6750981884162025,-0.17274831953648737,-0.04015257973803053,0.11399588181009246,-0.07760897634333182,-0.08362740642778066,-0.06405853254582124,-0.13144403408105976
